city_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
436,prabumulih,ID,81.1,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
438,zhanaozen,KZ,61.95,43.3,52.8,K.korabay 28A
439,lucban,PH,81.0,14.11,121.56,Patio Rizal Hotel
440,salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
441,mago,RU,66.88,53.25,140.18, 
442,sinnamary,GF,77.92,5.38,-52.95,ALETHEIA Appartement Sinnamary
445,baruun-urt,MN,71.87,46.68,113.28,Ахмадын амралт сувилал
446,gazli,UZ,67.51,40.13,63.45, 
449,makokou,GA,68.76,0.57,12.86,WAMY RESIDENCE HOTEL
450,ust-nera,RU,77.9,64.57,143.2,Hotel Ust-Nera
451,lancut,PL,62.01,50.07,22.23,VIS a VIS
452,chapeltown,GB,63.0,53.47,-1.47,Mercure Barnsley Tankersley Manor Hotel
454,baikunthpur,IN,80.4,23.25,82.55,New Shree Annpurna Lodge
455,areia branca,BR,76.42,-4.96,-37.14,Areia Branca Apart Hotel
456,zheleznodorozhnyy,RU,71.01,55.75,38.0,Hotel Dali
458,price,US,75.2,39.6,-110.81,National 9 - Price River Inn
461,bay roberts,CA,64.0,47.6,-53.26,Stonewall Inn
464,mandalgovi,MN,75.04,45.76,106.27,В.Ганбат
465,manado,ID,80.6,1.49,124.85,Aryaduta Hotel
466,surt,LY,71.42,31.21,16.59,City Hotel
467,gat,IL,70.0,31.61,34.76,רגע בנחת
469,pafos,CY,73.4,34.77,32.42,Elysium Hotel
470,lagoa,PT,66.0,39.05,-27.98,Casa Das Faias
473,salvador,SV,82.4,13.83,-88.92,Chico's Ranch
475,nyurba,RU,74.89,63.28,118.33,Gostinitsa Alrosa
476,bubaque,GW,81.32,11.28,-15.83,Casa Dora
480,flinders,AU,62.01,-34.58,150.86,Shellharbour Resort & Conference Centre
481,wajir,KE,73.98,1.75,40.06,Al- Amin lodge
482,paita,PE,65.44,-5.09,-81.11,Hotel Náutico de Paita
483,tananger,NO,71.6,58.93,5.6,Hummeren Hotel
488,itupiranga,BR,77.0,-5.13,-49.33,JAIRO ORLINDO VIEIRA
490,tabou,CI,75.06,4.42,-7.35,hotêl doufoulougou
491,nantucket,US,66.99,41.28,-70.1,Jared Coffin House
492,yinchuan,CN,78.08,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
493,dolzhanskaya,RU,70.0,46.63,37.8,"Park-hotel ""Ryba-Kit"""
496,lahat,ID,82.42,-3.8,103.53,Bukit Serelo Hotel
497,jawhar,SO,74.98,2.78,45.5,Ceelbaraf high school
500,pucallpa,PE,75.25,-8.38,-74.55,Manish Hotel Ecológico
504,monrovia,LR,77.0,6.3,-10.8,Eco-Hotel Hall & Restaurant
505,mareeba,AU,77.0,-17.0,145.43,Trinity Plains Tourist Park
506,lexington,US,78.8,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
511,omboue,GA,70.59,-1.57,9.26,Hotel Olako
513,simbahan,PH,83.37,6.3,120.58, 
514,sudak,UA,69.39,44.85,34.97,Solari Beach
515,methoni,GR,71.01,36.82,21.7,Methoni Beach Hotel
516,sulangan,PH,84.11,11.14,123.72,Maia's Beach Resort
517,hegra,NO,62.6,63.46,11.11,Hembre Gård
519,port hedland,AU,77.0,-20.32,118.57,The Esplanade Hotel
521,pacific grove,US,62.6,36.62,-121.92,Lovers Point Inn
523,greenland,US,70.0,43.04,-70.83,The Inn At Rye Place
524,scottsbluff,US,80.6,41.87,-103.67,Hampton Inn & Suites Scottsbluff-Conference Center
525,kawalu,ID,80.22,-7.38,108.21,KOSAN UNGU UNSIK
528,la rioja,ES,62.6,42.25,-2.5,Casa Concejos
530,sibu,MY,75.2,2.3,111.82,RH HOTEL (4 Star)
531,alytus,LT,60.8,54.4,24.05,Hotel Vaidila
535,cayenne,GF,77.0,4.93,-52.33,Hôtel Le Dronmi
537,lodja,CD,70.14,-3.48,23.43, 
539,kachug,RU,78.6,53.96,105.88,"The hotel ""Empire"""
542,klyuchi,RU,76.78,52.27,79.17,Vesolaya Mayovka
544,monroe,US,73.99,43.15,-77.68,Staybridge Suites Rochester University
546,el sauce,NI,76.23,12.89,-86.54,Hotel Blanco
547,jieshi,CN,84.94,22.81,115.83,Yuehai Hotel
550,pietarsaari,FI,63.0,63.65,22.68,Jakobstad City Hotel Pietarsaari
552,listvyanskiy,RU,68.47,54.44,83.5, 
554,shinpokh,PK,82.4,34.33,71.18, 
556,umea,SE,64.4,63.83,20.26,Hotel Avenue | ProfilHotels
557,skala,PL,62.01,50.23,19.85,Hotel pod Kazimierzem
558,balkhash,KZ,71.6,46.84,74.98,Family
559,glossa,GR,78.01,35.47,23.78,Elia Hotel & Spa
560,ozark,US,81.0,37.02,-93.21,Americas Best Value Inn Ozark Springfield
563,san andres,CO,84.2,12.58,-81.7,Hotel Arena Blanca
569,north platte,US,84.2,41.12,-100.77,Holiday Inn Express & Suites North Platte
570,tarime,TZ,69.8,-1.35,34.37,Kifa Best Point Hotel
571,chornukhy,UA,62.33,50.27,32.94, 
